Hour,Average Departure Delay
0,9.061146786384043
1,9.13491141446413
2,14.737967914438503
3,19.357201646090534
4,9.076502732240437
5,1.9736960602569575
6,2.2183628117734826
7,3.1551508799691796
8,4.494998394755074
9,5.4965204003817725
10,6.688020394365154
11,7.983660725316441
12,9.146341572451037
13,10.477233435113368
14,11.762363449815922
15,12.835543500100462
16,13.964310256597704
17,15.46350435624395
18,17.14249600652889
19,16.783268657110426
20,16.18474531615925
21,15.25040779188942
22,13.385744581803134
23,10.16302510741412
