Hour,Average Departure Delay
0,7.199848755671662
1,8.086939494811043
2,7.266955266955267
3,8.917861799217732
4,10.335227272727273
5,1.8970171250290875
6,2.106577858037923
7,3.2520096483693948
8,4.685878011859884
9,5.677080153221393
10,6.8946690240028765
11,7.783086177556409
12,8.95361297526405
13,9.796986072423397
14,11.1783530396053
15,11.94129565258141
16,12.931782577879986
17,13.836957088074694
18,14.989270314333165
19,15.075730947435693
20,15.29273987194252
21,13.715801374032525
22,11.771036200425481
23,9.518518518518519
